ogc_fid,m_per_year,aquifer,broader
674,0.32071429,Dalgan Bas,Jazmurian
675,0.14229167,Southeaste,Jazmurian
676,0.34536765,Southweste,Jazmurian
677,0.59225,Rodbar Jir,Jazmurian
746,0.42555556,Hesaruiyeh,-
678,0.53116987,Esfarayen,-
679,0.36,Jajarm Pla,-
680,0.1975,Shoqan Pla,-
1387,0.301604,Bone Sprin,-
681,0.15116667,Semelghan,-
682,0.34,Bajestan B,-
683,0.08863636,Kavir Nama,-
684,0.25309232,Ferdows Pl,-
685,0.59831994,Sarayan Pl,-
686,0.126125,Qaen Aquif,-
687,0.52458333,Galehdar P,-
688,0.50583333,Lamerd Pla,-
1388,0.23130889,Crow Flats,-
689,0.64672596,Kadkan Bas,-
690,0.08274439,Gonabad Pl,-
691,0.2721875,Bimorgh Ba,-
692,0.24616845,Khezri Pla,-
693,0.40833333,Minab Plai,-
694,0.0725,Behbahan P,-
695,0.13303846,Miandarban,-
696,0.41829167,Birjand Aq,-
697,0.72708333,Jangal Pla,-
698,0.0125,Ghorghi Zi,-
699,0.455,Khash Aqui,-
700,0.03115972,Malekan Aq,Miandoab P
701,0.04916667,Southern M,Miandoab P
702,0.06607143,Maragheh-B,-
703,0.04565972,Mahabad Pl,-
704,0.2678125,Kahria Aqu,-
1389,0.040386,Imperial V,-
705,0.09957887,Urmia Aqui,-
1390,0.49505764,Upper Borr,-
706,0.09902778,Tabriz Pla,-
707,0.23083333,Soufian-Sh,-
708,0.37504762,Marand Pla,-
709,0.0,Astanea-Ko,-
710,0.00991667,Amol-Ghaem,-
711,0.56975,Shiraz Pla,-
712,0.031,Behshar Ba,-
713,0.00985294,Sari-Neka,-
714,0.04675974,Gharesoo-G,-
747,0.92285714,Dumak Basi,-
748,0.3325,Korin Basi,-
749,0.579,Ghoharkoh,-
750,0.01772727,Saravan Ba,-
751,0.012,Zaboli Aqu,-
752,-0.26,Pir-e-Sohr,-
753,0.01625,Sadich Bas,-
754,0.13416667,Koriyan Ba,-
755,0.12730769,Sirik Basi,-
756,0.78015909,Jaghin-Tok,-
757,1.0334375,Manujan Ba,-
758,1.39658144,Nodej Basi,-
759,0.37257143,Isin Basin,-
760,0.099,Dezghan Ba,-
761,0.18153846,Bandar Len,-
762,0.47729798,Kahorestan,-
763,0.16285714,Northern S,Sarkhoon A
764,0.025,Southern S,Sarkhoon A
765,0.39512897,Shamil Aqu,-
766,-0.13,Kunming Ur,-
767,0.3325,Bardsir Pl,-
768,0.82666667,Rayen Aqui,-
769,0.758375,Kerman-Bag,-
770,1.19159091,Zarand Bas,-
771,0.40598958,Ravar Basi,-
772,0.29687063,Siriz Basi,-
773,0.108,Shahdad Ba,-
774,0.27,Shahr-Baba,-
775,0.56225,Bosrouyeh,-
776,1.34737825,Faryab Bas,-
777,2.3521369,Kordi Shir,-
778,1.96756944,Soghan Bas,-
779,0.72508333,Esfandaghe,-
780,0.85608929,Northern S,-
781,2.21625,Southern S,-
782,0.18,Ahmadi Bas,-
783,0.92544444,Eastern Re,-
784,0.17390756,Western Re,-
785,1.01958333,Dashtab Ba,-
786,0.3535,Northern D,-
787,0.25680556,Southern D,-
788,-0.03833333,Fedami Bas,-
789,0.29666667,Tashkoyeh,-
790,0.972,Sahre e- B,-
791,0.17,Gerash Bas,-
792,0.11857143,Dehkyueh B,-
793,0.60833333,Eastern Gh,-
794,0.1917197,Mobarakiye,Tehran Pla
795,1.71433333,Eyvanekey,Tehran Pla
796,0.2709375,Varamin Aq,Tehran Pla
797,0.20569444,Tehran-Kar,Tehran Pla
798,0.13,Eshtehard,-
799,0.69533333,Zaran -e S,-
800,0.94454545,Qom Kahak,-
801,0.66733333,Sharif Aba,-
802,0.56541667,Garmsar Ba,-
803,1.418625,Homand Bas,-
804,0.39049786,Semnan and,-
805,-0.00381944,Rudsar Coa,-
806,0.04222527,Khor-Fakhr,-
807,0.00234375,Bayazeh Ba,-
808,-0.005,Kavir Alla,-
809,0.009375,Naein Basi,-
810,0.09428571,Aqda Basin,-
811,-0.01066239,Anarak Bas,-
812,0.0425,Kavir -e S,-
813,-0.00722222,Dagh -e Ta,-
814,0.50791667,Eastern Kh,-
815,0.14772727,Ladiz Basi,-
816,0.0,Ahar-Varze,-
817,0.1903125,Bostanabad,-
818,0.20022727,Kordkandi-,-
819,0.12595455,Sarab Plai,-
820,0.12125,Naqadeh Pl,-
821,0.10783333,Bukan Basi,-
1013,0.03333333,Northeaste,Deccan Pla
822,0.0825,Shahindej,-
823,0.26590909,Rashakan B,-
824,0.95439394,Zanjan Pla,-
825,1.42210714,Abhar Plai,-
826,0.43884615,Eastern So,Sojas Basi
827,0.63791667,Upper Qeyd,Qeydar Bas
828,0.23346154,Lower Qeyd,Qeydar Bas
829,0.50627841,Eastern Go,-
1131,0.03163636,Eastern Pi,Pilbara Cr
830,0.2721875,Hamedan-Ba,-
831,0.12085049,Northern R,Razan Basi
832,0.77725,Central Ra,Razan Basi
833,0.13978992,Southern R,Razan Basi
834,0.12076923,Blok -e Sh,Razan Basi
835,0.85855769,Komijan Aq,Razan Basi
836,0.83576389,Lower Kabo,Razan Basi
837,0.16,Upper Kabo,Razan Basi
838,1.39431818,Lower Nowb,-
839,0.1275974,Upper Nowb,-
840,0.95964286,Ghorveh-De,-
841,0.27730769,Southeaste,-
842,0.5,Malayer Aq,-
843,0.40535619,Arak Plain,-
844,0.60535714,Asadabad P,-
845,0.60048363,Kangavar A,-
846,0.218125,Tuyserkan,-
847,0.00946429,Aleshtar P,-
848,0.02633333,Norabad Ba,-
849,0.165,Azna-Aligu,-
850,0.30096154,Shazand Pl,-
851,0.19470833,Robat-Khor,-
852,0.87125,Harasm Bas,-
853,-9.9519E-4,Halilan Ba,-
854,-0.83633668,Abbas -e S,-
855,0.04752841,Gotvand Ba,Dezful-And
856,-0.02428595,MiyanAb Sh,Dezful-And
857,0.0025,Central De,Dezful-And
858,-0.01059524,Shush Plai,Dezful-And
859,0.295,Northern D,Dezful-And
860,-0.01571429,Southern D,Dezful-And
861,-0.31618056,Evan Plain,Dezful-And
862,0.98583333,Golpayegan,-
863,0.5125,Khomein Ba,-
864,0.07681548,Muteh Basi,-
865,0.64178571,Malahat Ba,-
866,0.25625,Meymeh Pla,-
867,0.158,Lenjanat B,-
868,0.28108631,Korron Bas,-
869,0.2925,Koohpayeh,Lower Zaya
870,0.0740625,Esfandaran,Lower Zaya
871,0.37798611,Esfahan Ba,Lower Zaya
872,0.57839286,Murchehkho,Lower Zaya
873,0.65186355,Mohammad A,Lower Zaya
874,0.59378869,Western Za,-
875,0.23666667,Shahreza P,-
876,0.547,Abarkooh P,-
877,0.199375,Western De,-
878,0.13583333,Eastern De,-
1391,-0.17435563,Lower Borr,-
879,0.7259881,Kavir -e A,-
880,0.10769231,Kafehtaghe,-
881,0.56208333,Marvast Ba,-
882,0.45076923,Harat Basi,-
883,0.59875,Chahak -e,-
884,0.01125,Hassanabad,-
892,0.20316071,Boein-Mian,-
885,0.20876786,Bavanat Ba,-
886,0.46973958,Sarchahan,-
887,0.44166667,Eastern Qa,-
888,1.264375,Southweste,-
889,0.68681818,Saadat Aba,-
890,0.78323718,Chadegan P,-
891,0.37427778,Chehelkhan,-
1132,0.026,Western Pi,Pilbara Cr
893,1.10203571,Damanehdar,-
894,0.8798125,Shahrekord,-
895,0.41366071,Boroujen A,-
1241,-0.0275,Toucian-Fo,Hsinchu-Mi
896,0.03736111,Borujerd -,-
897,0.00464286,Sahneh-Bis,-
898,0.01458333,Mianrahan,-
899,-0.09102564,Kamyaran P,-
900,0.04009518,Kermanshah,-
901,0.5059375,Mahidasht,-
902,0.32477273,Ravansar P,-
903,1.50544697,Khanmirza,-
904,1.46875,Kuhdasht P,-
905,0.15426768,Jayezan Ba,-
906,0.00270933,Tokio-Wood,-
907,1.23402778,Baghmalek,-
908,0.87222222,Upper Morg,-
1392,0.00123858,Southern O,-
909,0.48071429,Izeh Plain,-
1393,0.01293091,Bishop Bas,-
910,0.61836538,Kalacho Pl,-
911,1.19158654,Imamzadeh,-
912,0.21425,Mehrgerd S,-
913,0.85071429,Qabr-e Kik,-
1394,0.10763063,Chaleant V,-
914,0.32825,Mal-Khalif,-
1395,-0.03876549,Round Vall,-
915,0.18861111,Borazjan A,-
1396,0.02472222,Dale Valle,-
916,0.015,Bandar Gan,-
1397,0.7362075,Eastern Im,-
1398,-0.25208706,Irwin Basi,-
917,0.96690625,Nurabad Ma,-
1399,0.06096,La Posa Pl,-
918,0.9738125,Fahliyan B,-
919,0.3215,Dasht-e Ro,-
920,0.41291667,Basht Basi,-
921,-0.281875,Yasuj Basi,-
922,0.045,Khormoj Ba,-
923,0.03986458,Mond Basin,-
924,0.21948864,Abdan-Daye,-
925,0.49160714,Jam Basin,-
926,0.7450974,Riz Basin,-
927,0.14,Darolmizan,-
928,1.59221291,Hengam Bas,-
929,0.21389015,Dehrom Bas,-
930,0.117,Allah Marv,-
931,0.945,Dasht e- N,-
1400,0.101043,Searles Va,-
932,0.9225,Sadegh Aba,-
933,0.45638462,Abadeh Egh,-
934,0.532,Aspas Plai,-
935,0.62482143,Kamfruz Al,-
936,0.40978571,Beyza-Zarg,-
937,1.81653846,Bekan Basi,-
938,0.79605556,Marvdasht,-
939,0.8,Dariyan Ba,-
940,2.8184375,Arsanjan B,-
941,0.6125,Tavabeh Ar,-
942,1.57111111,Seyedan-Fa,-
943,0.85410714,Kazeroun P,-
944,1.728,Beram Basi,-
945,0.38928571,Daryache P,-
946,1.518,Dehrood -e,-
947,0.46944444,Khesht Pla,-
948,0.68,Firuzabad,-
949,0.463,Farashband,-
950,0.46866987,Darenjan B,-
951,0.5318125,Sikh Daren,-
952,0.26354167,Sarvestan,-
953,0.435,Goshnekan,-
954,0.163,Khafr Basi,-
955,0.77346154,Kavar and,-
956,1.1825,Gharebagh,-
957,1.01785714,Bushkan Pl,-
958,0.59083333,Mobarak Ab,-
959,0.23125,Dasht e- A,-
960,0.17791667,Ghir Karzi,-
961,0.04863636,Sief Abad,-
962,0.27836538,Meymand Aq,-
963,0.39,Neyriz Pla,-
964,0.98416667,Khir Plain,-
965,0.7847619,Estahban B,-
966,0.4525,Roniz Basi,-
967,0.88605769,Eij Basin,-
968,0.55,Darkoye an,-
969,0.56711806,Abadeh Tas,-
970,0.63,Fasa Basin,-
971,0.22022321,Gareh-Bygo,-
972,0.495,Khosuye-Ha,-
973,0.13291667,Izad Khast,-
974,0.3353125,Javim Bana,-
975,0.75169872,Kavir Qatr,-
976,0.066875,Qatruiyeh,-
977,0.02178571,Mehraban P,-
978,1.716875,Orzooiyeh,-
979,0.74424679,Marveshkan,-
980,0.32,Lash Basin,-
981,0.199,Northern S,Saurashtra
982,0.35625,Southern S,Saurashtra
983,0.204375,Porbander,Saurashtra
984,0.31142857,Coastal Sa,-
985,0.065,Southern M,Malabar Co
1401,0.15523,Indian Wel,-
986,0.040625,Southern M,Malabar Co
987,0.10857143,Kozhikkode,Malabar Co
988,0.066,Kerala Ter,Malabar Co
1402,-0.17721952,Rose Valle,-
989,0.07486111,Central Ke,Malabar Co
990,0.124,Central Ma,Malabar Co
991,0.09404762,Northern M,Malabar Co
992,0.07333333,Southern C,Coromandel
993,0.35180556,Southern C,Coromandel
994,0.20458333,Southcentr,Coromandel
995,0.12966667,Tiruvadana,Coromandel
996,0.17,Southern C,Coromandel
997,0.16071429,Northern C,Coromandel
998,0.17395833,Central Co,Coromandel
999,0.162125,Chennai Co,Coromandel
1000,0.275,Northcentr,Coromandel
1001,0.17366667,Northcentr,Coromandel
1002,0.22151736,Namakkal F,Coimbatore
1003,0.42625,Northwest,Coimbatore
1004,0.18928571,Southern C,Coimbatore
1403,0.10658231,Kern River,-
1005,0.24340278,Palakkad G,-
1404,0.100965,Walker Bas,-
1006,0.37071429,Dindigul F,-
1007,0.26125,Theni Frac,-
1008,0.17,Southern D,Deccan Pla
1009,0.16833333,Southcentr,Deccan Pla
1010,0.08305556,Eastern De,Deccan Pla
1133,0.13641369,Central Pi,Pilbara Cr
1011,0.2296875,Northcentr,Deccan Pla
1134,0.09875,Lower Fort,Hamersley
1012,-0.00375,Northweste,Deccan Pla
1135,0.15,Ti Tree Ba,-
1014,-0.029,Southern M,Malwa Plat
1015,0.003375,Eastern Ma,Malwa Plat
1016,-0.09555556,Northweste,Malwa Plat
1017,0.01928571,Western Am,Amarkantak
1018,0.01625,Eastern Am,Amarkantak
1019,0.03059524,Central Am,Amarkantak
1020,0.00642857,Western Sa,Satpura Ba
1021,0.15309524,Eastern Sa,Satpura Ba
1022,0.13396825,Western Ta,Tapi Valle
1023,0.12164683,Eastern Ta,Tapi Valle
1024,0.06527083,Chittagong,-
1025,1.14708333,Southern N,Cuddapah S
1026,0.655,Central Na,Cuddapah S
1027,0.3175,Northern N,Cuddapah S
1028,0.556875,Papaghni B,Cuddapah S
1029,0.22714286,Kurnool Ba,Cuddapah S
1030,0.41,Srisailam,Cuddapah S
1031,0.27222222,Northweste,-
1032,0.317,Western Ka,-
1033,0.1945,Western Ka,-
1034,-0.00888889,Bhuj Sands,-
1405,0.00723875,Long Valle,-
1035,0.17388889,Central Ka,Kachchh Co
1406,0.001828,Bridgeport,-
1036,0.034375,Western Ka,Kachchh Co
1037,0.103,Eastern Ka,Kachchh Co
1038,0.10578571,Northern D,Dharwar Cr
1039,0.175,Central Dh,Dharwar Cr
1407,0.0762,Long Valle,-
1040,0.18625,Southern D,Dharwar Cr
1041,0.24375,Upper Cauv,Dharwar Cr
1042,0.16592857,Trans Gang,Indo-Gange
1136,0.01458333,Lower Gasc,-
1043,0.04888889,Upper Gang,Indo-Gange
1044,0.0525,Middle Gan,Indo-Gange
1045,0.0835,Western Br,Brahmaputr
1137,-7.2917E-4,Uley Basin,Eucla Basi
1046,0.04244643,Northern P,Bengal Bas
1047,0.131625,Barind Tra,Bengal Bas
1048,0.081475,Sylhet Bas,Bengal Bas
1049,0.07937624,Madhupur T,Bengal Bas
1408,-0.01311078,Palen and,-
1050,0.07603333,Southcentr,Bengal Bas
1409,-0.04963947,Eastern Ar,-
1410,0.04690333,Eastern Sa,-
1051,0.0174625,Sundarbans,Bengal Bas
1411,0.0186675,Coyote Wel,-
1412,0.03695688,Jacumba Va,-
1052,0.006,Southweste,Bengal Bas
1413,0.008636,El Cajon V,-
1053,0.275,Western Be,Bengal Bas
1054,0.037,Southeaste,Bengal Bas
1055,-0.06322786,Rechna Doa,Indus Basi
1414,-0.008001,Poway Vall,-
1056,-0.04550773,Chaj Doab,Indus Basi
1057,-0.02163214,Thal Doab,Indus Basi
1058,0.124715,Bari Doab,Indus Basi
1059,-0.0348615,Eastside L,Indus Basi
1060,-0.01262743,Westside M,Indus Basi
1061,-0.061722,Eastside M,Indus Basi
1415,0.00824593,Escondido,-
1062,1.68207143,Northwest,Malwa Plat
1063,-0.39535714,Eastern Ma,Malwa Plat
1064,-0.22833333,Malwa Plat,Malwa Plat
1065,0.01333333,Western Ca,Cambay Bas
1066,0.04857143,Central Ca,Cambay Bas
1067,0.11333333,Eastern Ca,Cambay Bas
1068,0.05571429,Southern H,Chhattisga
1069,0.095625,Northern H,Chhattisga
1070,0.06319444,Baradwar B,Chhattisga
1071,0.1325,Mahanadi D,Utkal Coas
1072,0.13579365,Brahmani D,Utkal Coas
1073,-0.058125,Eastern Vi,-
1074,0.02996032,North Rewa,Son-Mahand
1075,-0.00333333,South Rewa,Son-Mahand
1076,0.08875,Hasdo-Aran,Son-Mahand
1077,0.128125,Mahanadi B,Son-Mahand
1078,0.03111111,Hirakud Co,-
1079,-0.2406369,Mulgildie,Great Arte
1080,0.02267857,Clarence-M,Great Arte
1081,-0.05125,Laidley Su,Great Arte
1082,0.10791667,Coonamble,Great Arte
1083,0.04213889,Southeaste,Great Arte
1084,-0.00930952,Western Su,Great Arte
1085,0.0,Roma Shelf,Great Arte
1086,0.00153846,Mimosa Syn,Great Arte
1087,0.01589286,Arckaringa,Great Arte
1088,-0.55375,Lake Frome,Great Arte
1089,0.035,Poolowanna,Great Arte
1090,-0.02402778,Central Er,Great Arte
1416,0.1544955,Warner Val,-
1091,-0.01833333,Eastern Er,Great Arte
1092,-0.08528846,Northern E,Great Arte
1093,0.02522727,Southern C,Great Arte
1417,0.04503709,Santa Mari,-
1094,-0.07733333,Staten Riv,Great Arte
1418,1.14469333,San Pasqua,-
1095,-0.04616071,Weipa Depr,Great Arte
1096,0.03484375,Western Ri,Murray Bas
1419,0.03048837,Santa Marg,-
1097,0.10057143,Southern R,Murray Bas
1098,0.06466667,Eastern Ri,Murray Bas
1099,0.1370098,Northern R,Murray Bas
1138,0.00525174,Southeaste,Eucla Basi
1100,0.02065931,Ivanhoe Pl,Murray Bas
1101,-0.01215385,Northern M,Murray Bas
1102,0.00758333,Central Ma,Murray Bas
1139,0.00166667,Polda Basi,Eucla Basi
1103,0.02766667,Southern M,Murray Bas
1104,0.011625,Wimmera Pl,Murray Bas
1105,0.02555556,Lower Lime,Murray Bas
1106,-0.01602381,Angas-Brem,Murray Bas
1107,-3.048E-4,Leadville,-
1108,0.2339325,Piceance B,-
1420,0.08134375,San Luis R,-
1109,0.02851645,Northern S,Perth Basi
1110,0.06,Gnangara M,Perth Basi
1421,0.030099,Temecula V,-
1111,0.05089744,Northcentr,Perth Basi
1422,0.18288017,Eastern El,-
1112,-0.11111111,Arrowsmith,Perth Basi
1113,0.034,Central Pe,Perth Basi
1423,0.17424429,Western El,-
1114,0.01388889,Myalup and,Perth Basi
1424,0.15954388,Bedford-Co,-
1115,0.02871429,Southern S,Perth Basi
1116,0.06339216,Scott Coas,-
1117,0.08055556,Western Bl,-
1118,0.02744048,Gambier Em,Otway Basi
1119,0.03697917,Central Ot,Otway Basi
1120,0.03143201,Eastern Ot,Otway Basi
1425,0.03539783,San Juan V,-
1121,0.04292857,Western Po,-
1122,0.02075,Lochiel Lo,St Vincent
1123,0.04285714,Northern S,St Vincent
1124,0.07535714,Western St,St Vincent
1125,0.06851504,Willunga a,St Vincent
1126,-0.00675,Central Ad,St Vincent
1127,-0.02625,Northern A,St Vincent
1140,-0.02188187,Central Eu,Eucla Basi
1141,0.25541667,Missionary,Amadeus Ba
1142,0.4421875,Southeaste,Amadeus Ba
1143,0.11076923,Daly Basin,Daly-Wiso-
1426,0.148844,Cahuilla V,-
1427,-0.02057385,Terwillige,-
1144,0.10416667,Northern G,Daly-Wiso-
1145,-0.22,Wiso Basin,Daly-Wiso-
1146,-0.08,Biloela Ba,-
1428,0.006096,Thousand O,-
1147,0.0,Sydney Bas,-
1148,0.049,Gunnedah B,-
1149,0.01026282,Latrobe Va,Gippsland
1150,0.025375,Eastern Gi,Gippsland
1151,0.03,Seaspray R,Gippsland
1152,-0.05,Howard Eas,-
1153,0.01444444,Longford T,-
1154,-0.0025,Uitenhage,-
1155,0.054375,Cape Flats,-
1156,0.03,Atlantis A,-
1157,0.01875,Southweste,-
1158,0.01583333,Hermanus C,-
1159,0.00375,Elandsbaai,-
1160,-0.02638889,Southern N,Namaqualan
1161,0.07,Stilbaai C,-
1162,0.14215278,Saint Fran,-
1163,0.02013542,Western Sa,-
1429,0.03874655,Conejo Bas,-
1164,0.05863636,Stampriet,-
1165,-0.07831597,Tuli Karoo,-
1430,0.00338447,Simi Valle,-
1166,0.11572917,Southcentr,Main Karoo
1167,0.04961538,Western Ka,Main Karoo
1168,-0.00464286,Central Ka,Main Karoo
1169,0.23453125,Southeaste,Main Karoo
1170,0.01696429,Eastern Ka,Main Karoo
1171,-0.04622024,Northeaste,Main Karoo
1172,0.124375,Northern K,Main Karoo
1173,0.019,Oropesa Pl,-
1174,0.00416667,Southern Z,-
1175,0.14547619,Southern M,Maputaland
1176,0.23861111,Central Ma,Maputaland
1177,0.23625,Northern M,Maputaland
1178,0.07,Springbok,-
1179,0.03445238,Ghaap Plat,-
1180,0.28375,Pomfret-Ve,-
1181,0.145,North West,-
1182,0.01844375,Central Ca,-
1183,-5.119E-4,Northern C,-
1184,-0.0075,Southern C,-
1185,0.00121701,Ashland Fl,-
1186,0.02714286,Kaikoura P,-
1187,0.054,Waipara Al,-
1188,0.24378077,Central Cu,Culverden
1189,-0.0975,Southern C,Culverden
1190,0.10875,Northern C,Culverden
1191,0.06861111,Aveiro Qua,-
1192,0.024375,Benkersand,-
1193,-0.10055556,Bonifacio,-
1194,0.01114211,Central Bo,Bohemian C
1195,0.01263889,Eastern Bo,Bohemian C
1196,0.01068182,Northweste,Bohemian C
1197,0.00216557,Southweste,Bohemian C
1198,0.01346893,Southern B,Bohemian C
1199,0.0115,Cheb Basin,-
1200,0.0085307,Pilsen Bas,-
1201,0.005,Manetin Ba,-
1570,-0.16462121,Vega de Gr,-
1202,0.0,Kladno-Rak,-
1203,0.01644196,Trebon Bas,-
1204,0.00816964,Upper Moro,-
1571,2.3925,Fuente-de-,-
1205,0.01848214,Lower Moro,-
1572,-0.11142857,Tajuna-Mon,-
1206,0.06375,Central Vi,Vienna Bas
1207,0.01317262,Southern V,Vienna Bas
1208,0.074375,Northern V,Vienna Bas
1209,0.00533333,Odra Gate,-
1210,0.01484037,Otava and,-
1211,-0.06545455,Dumfries B,-
1212,0.04729167,Yorkshire,-
1213,0.05966667,Lincolnshi,-
1214,0.1,Norfolk Ch,Chalk Aqui
1215,0.22257576,Thames Val,Chalk Aqui
1216,0.24666667,Hertfordsh,Chalk Aqui
1217,-0.12138889,Southern D,Chalk Aqui
1218,-0.04475,Southern C,Chalk Aqui
1219,0.52573529,Salisbury,Chalk Aqui
1573,-0.02321429,Southern G,-
1220,0.03808333,Kristianst,-
1221,0.09428571,Limpopo Pl,-
1222,0.2905,Letaba Low,-
1223,-0.156875,Bangkok Ba,Lower Chao
1224,-0.05272727,Southeast,Lower Chao
1225,0.33285714,Middle Cha,-
1226,0.13568182,Southwest,Rayong Bas
1227,0.04750852,Coastal Ra,Rayong Bas
1574,-0.06070455,Eastern Gu,-
1228,0.0143006,Northern R,Rayong Bas
1229,0.27262238,Southweste,Khorat Pla
1230,0.015,Northern K,Khorat Pla
1231,-0.02560211,Palo Verde,Blythe Bas
1232,-0.01455425,Parker Val,Blythe Bas
1233,-0.014,Pingtung P,-
1234,0.08426471,South Chia,Chianan Pl
1235,0.04102273,North Chia,Chianan Pl
1236,0.02,Taichung C,Taichung B
1237,-0.11333333,Northern T,Taichung B
1238,-0.006125,Southern T,Taichung B
1239,-0.005,Houlong Al,Hsinchu-Mi
1242,0.05909722,Taoyuan-Ch,-
1243,0.13051786,Taipei Bas,-
1244,-0.00292857,Lanyang Pl,-
1245,0.05830357,Choshui Al,-
1246,-5.0E-4,Hengchun P,-
1247,-0.12372078,Northern H,Hualien-Ta
1248,-0.045,Northcentr,Hualien-Ta
1249,-0.1965,Southcentr,Hualien-Ta
1250,-0.1412197,Southern H,Hualien-Ta
1251,0.35666667,Cuauhtemoc,-
1252,0.02062305,Mesilla-Co,-
1253,0.31,Guerrero-Y,-
1254,-0.02845833,San Felipe,-
1255,-0.25595238,Lampazos V,-
1256,-1.59444444,Campo Mina,-
1257,-0.08125,Guadiana V,-
1258,-0.07326389,Canatlan V,-
1259,0.01125,Laguna de,-
1260,0.19114583,Loreto Aqu,-
1261,0.04633523,Western Vi,-
1262,0.2546875,Eastern Vi,-
1263,0.59,La Blanca,-
1264,0.50604167,Chupaderos,-
1265,0.3646875,Ojocalient,-
1266,0.34384615,Navidad-Po,-
1267,0.2321875,Southern G,-
1268,0.036875,Northern G,-
1269,0.16225,El Salvado,-
1270,0.10769231,Puerto Mad,-
1271,0.42,Aguanaval,-
1272,0.17465278,Abrego Aqu,-
1273,-0.11458333,Sabinas Aq,-
1274,0.03857143,Sain Alto,-
1275,-0.19458333,Hidalgo Aq,-
1276,-0.01388889,Western El,-
1277,0.26561111,Eastern El,-
1278,-0.06363782,Guadalupe,-
1279,-0.04291964,El Cardito,-
1280,0.940625,Cienega Pr,-
1281,0.23720833,Salvatierr,-
1282,0.0774256,Tlaltenang,-
1283,0.09783333,Northern J,-
1284,0.00111111,Southern J,-
1285,0.18333333,Villanueva,-
1286,0.47166667,Jerez Aqui,-
1287,0.34857143,Valparaiso,-
1288,-0.02666667,Zacatepec,-
1289,0.00958333,Tecolutla,-
1290,-0.021336,Ojai Basin,-
1291,-0.398,Nochixtlan,-
1292,0.06857143,Miahuatlan,-
1293,-0.09,Rio Baluar,-
1294,0.04475,Rio Elota,-
1295,0.054,Eastern La,-
1296,-0.2425,Western La,-
1297,-0.05229167,Jamiltepec,-
1298,-0.26,Chachaua A,-
1299,-0.04330769,San Marcos,-
1300,-0.01708333,San Bruno,-
1301,-0.028125,San Lucas,-
1302,0.19363636,Mid-Waitak,-
1303,0.01391026,Lower Wait,-
1304,-0.14645833,Logar Aqui,Kabul Basi
1305,0.72608333,Central Ka,Kabul Basi
1575,0.06666667,Upper Thra,-
1306,1.25E-4,Deh Sabz B,Kabul Basi
1307,-0.32,Shomali Ba,Kabul Basi
1308,0.16333333,Darulaman-,Kabul Basi
1309,-0.01363636,San Jose d,-
1310,-0.124,Sabinas Pa,-
1311,-0.05910044,Bajo Rio B,-
1312,-0.02642857,Mendez - S,-
1313,-0.18571429,Vicente Gu,-
1314,8.3333E-4,Rio Piaxtl,-
1315,-0.015,Rio Presid,-
1316,0.19508929,Valle de E,-
1317,0.063,Rio Canas,-
1318,0.525,Vanegas-Ca,-
1319,0.13125,Villa de A,-
1320,0.03729167,Perote-Zal,-
1321,0.17784722,Northeaste,Libres-Ori
1322,0.21571429,Eastern Li,Libres-Ori
1323,-0.049375,Huatulco A,-
1324,0.0181356,Dixie Vall,-
1325,-0.03524238,Virgin Riv,-
1326,0.01143,Dugway-Gov,-
1327,0.005486,Smoke Cree,-
1328,0.01436857,Hot Creek,-
1329,0.02899538,Stone Cabi,-
1330,-0.12005733,Lower Mead,-
1331,0.0,Ralston Va,-
1332,0.060025,Goshute Va,-
1333,0.0085725,Tule Valle,-
1334,0.03148013,Kobeh Vall,-
1335,0.00357459,Sarcobatus,-
1336,0.00218427,Skull Vall,-
1337,0.01246025,Southern B,-
1338,-0.03752762,Pine Valle,-
1339,0.274825,Penoyer Va,-
1340,0.00456929,Gold Flat,-
1341,0.00587349,Fish Sprin,-
1342,-0.0785,Northern T,-
1343,0.01607273,Wah Wah Va,-
1344,0.06121417,Southern R,-
1345,0.0209,Smith Cree,-
1346,-0.057405,Duck Lake,-
1347,-7.1133E-4,Lida Valle,-
1348,0.06873403,Hawthorne,-
1349,0.008128,Grouse Cre,-
1350,0.03644917,Ivanpah Va,-
1351,-1.9075E-4,Mud Meadow,-
1352,-2.5E-4,Garden Bas,-
1353,8.7086E-4,Pilot Vall,-
1354,-0.00390091,Lower Amar,-
1355,-0.09084667,Coal Valle,-
1356,0.0121875,Frenchman,-
1357,0.23012563,Long Valle,-
1358,0.246584,Edwards Cr,-
1359,0.001715,Cactus Fla,-
1360,0.00863667,Promontory,-
1361,-0.04648,Southern T,-
1362,-1.7941E-4,Columbus S,-
1363,-0.07617214,Cave Valle,-
1364,-0.1524,Hualapai F,-
1365,0.041175,California,-
1366,-0.02104083,Yucca Flat,-
1367,0.06131567,San Emidio,-
1368,0.00559984,Antelope V,-
1369,0.01036175,Hansel and,-
1370,0.03670275,Blue Creek,-
1371,0.00822873,Sink Valle,-
1372,-0.01734118,Mercury Va,-
1373,0.044196,Chicago Va,-
1374,0.03430833,Muddy Rive,-
1375,0.02411976,Truckee Me,-
1376,-0.007747,Western Wa,-
1377,-0.7094225,Eastern Wa,-
1378,-0.00101667,Long Valle,-
1379,0.0133157,Socorro Ba,-
1380,-0.02210657,Engle Basi,-
1381,-0.02399655,Palomas Ba,-
1382,0.03583806,Las Vegas,-
