Table 1,"Sensitivity Analysis 1 (Geographical Attribution Boundary): water, carbon, and water scarcity footprints for six geographical attribution method for each subbasin (8-digit Hydrologic Unit Code) in the CONUS. ",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,Water Footprint (m3 water),,,,,,Carbon Footprint (Tons of CO2_eq),,,,,,Water Scarcity Footprint (m3 eq_water),,,,,,,,,
HUC8 Subbasin,PCA,PCA_NT,HUC4,Inter-connection,eGRID,State,PCA,PCA_NT,HUC4,Inter-connection,eGRID,State,PCA,PCA_NT,HUC4,Inter-connection,eGRID,State,WF_Coefficient of Variation,CF_Coefficient of  Variation,Characterization Factor,Region
1010001,15416.97312536044,1780.994535848285,3014.1740777787736,3983.811837925613,4196.472960608198,3184.575293607048,0,0,0,0,421.6601257324219,0,3701.2096705792005,427.5699351442097,723.6239017069128,956.4084194998846,1007.462760545226,764.5327508547781,0.9590544250486157,2.4494897427831783,0.240073692837333,Northeast
1010004,74312.04262540977,4414.0073060360455,10735.286458181608,15705.6502616178,16795.75131793347,11648.62430197328,1195.299194645631,14.67153900638563,121.4424511205678,205.3954397576969,1795.9284529685974,137.37560272216797,22977.675921559094,1364.834363452287,3319.40725145474,4856.26998127228,5193.334983240158,3601.8161348618105,1.1617010718141572,1.2760287207497918,0.30920527965277944,Northeast
1010005,2943.7164898057827,2901.3020072326285,2905.1377915034404,2908.1538334845895,2908.8153123379625,2881.188678406402,0,0,0,0,555.6901245117188,0,816.7215155526748,804.9537992632523,806.0180211588864,806.8548090718342,807.0383335428571,799.3734424392673,0.006959906433642418,2.449489742783178,0.2774457113587591,Northeast
1020001,9169.748113915273,9484.307434564667,3800.347159697888,6227.995326626538,6692.073993722407,4504.708675685291,0,0,0,0,2702.455810546875,0,1687.8472519500508,1745.7472158681067,699.5181798089169,1146.3678900025989,1231.7894188402056,829.1678315081386,0.3514650053968618,2.449489742783178,0.1840669155773984,Northeast
1020003,4078.9535156565944,4080.614228218052,4050.605820875959,4063.422563350147,4065.8726616984004,4020.252558455905,0,0,0,0,2058.2599487304688,0,1123.4555536223127,1123.9129593620396,1115.647821807902,1119.1779038391642,1119.852728052213,1107.2877017169337,0.005505946155174638,2.4494897427831783,0.2754273980593448,Northeast
1020005,163444.22774364412,169119.35601203892,66572.07314743931,110370.53605552041,118743.2206002275,79296.6644705314,5070.609240057584,5267.071928976779,1717.070240885479,3233.293907823484,2990.55184173584,2162.539307284749,16344.422774364413,16911.93560120389,6657.207314743931,11037.053605552042,11874.32206002275,7929.66644705314,0.35736737104684446,0.4321036294033121,0.1,Northeast
1030001,233125.91005515892,242096.02255874372,53528.37488922311,149237.58843354092,162471.4606512505,100335.3473513013,0,0,0,0,814.8197784423828,0,62679.579425437965,65091.33571194652,14391.948216265771,40124.88047882668,43683.01584258681,26976.741332599147,0.46903409731604406,2.449489742783178,0.26886577905736697,Northeast
1030002,11066.30939266626,11470.10185276595,2981.669370201486,7290.049981461577,7885.7769377621,5083.864105491071,154.639909305792,160.6314915709817,34.67782341869014,98.60674585508289,2125.3598022460938,65.95161437988281,2846.3422485765163,2950.200861060283,766.9089303896864,1875.058478865567,2028.2841609035002,1307.6100329411147,0.4340126758734927,1.8799194697122226,0.25720790442230107,Northeast
1030003,534546.8779708166,554419.4293365541,136663.21248517898,348699.15535364026,378017.71800365555,240207.4358455588,757.1852322332838,786.5226628440414,169.7979253641624,482.8221388335543,7865.15896987915,322.92820930480957,81227.93099166286,84247.69651174608,20766.878360575,52987.14125024403,57442.29061478713,36501.107436292164,0.4459306420401003,1.7419396777404736,0.15195660911913036,Northeast
1040001,1016145.7027384699,1055429.0454634891,127277.73104490049,648768.6283069468,706724.5054154699,407873.2561145923,2791.348817200335,2899.500691733731,344.1859567410933,1779.914542411403,3773.4284706115723,1034.400146484375,247029.7442845046,256579.70752486447,30941.808117084496,157718.66959488788,171808.01275042095,99155.88471903249,0.538748625241402,0.6101401426921657,0.24310464888919947,Northeast
1040002,492219.34880331886,510640.4775277971,75402.69854394828,319945.3031372602,347122.5390468766,219084.1215530243,7054.894829069249,7328.239419934491,869.9004980991308,4498.581411275532,11880.456499099731,3008.807472229004,72901.30038569379,75629.60483339913,11167.693407031758,47386.249052800325,51411.39727892478,32447.967342004627,0.5045164636187428,0.6693381284402931,0.14810734393707004,Northeast
1050001,66022.12664753408,3675.549458611755,23535.821173338452,13747.295909041699,14719.62752524197,10130.78346185246,1635.21037485649,20.07116954970096,534.5677934349334,280.9880200242005,1601.9957275390625,187.93455505371094,17635.716341418938,981.8064176724595,6286.847866795603,3672.1539190598555,3931.8814595652757,2706.117365824677,1.0254166667397497,1.0184004750767934,0.2671182713572531,Northeast
1050002,24363.239628523585,24399.36747863936,24561.95209620777,24025.372660991296,24078.673146547262,23630.39905614289,11.20120789248271,11.63520296437964,13.5882924110204,7.142494229868396,1874.3787607178092,4.777148425579071,2436.3239628523584,2439.936747863936,2456.195209620777,2402.5372660991297,2407.867314654726,2363.039905614289,0.013888812480363279,2.3756039716312443,0.1,Northeast
1050003,15227.7825621398,15227.953735890302,15228.724061793277,15226.181748478937,15226.434286174563,15096.55907177459,1.178071313831814,1.22371613619863,1.429129576652609,0.7512018027148855,0.3908500671386719,0.5024298429489136,1522.77825621398,1522.7953735890303,1522.8724061793278,1522.618174847894,1522.6434286174563,1509.655907177459,0.0035138667791178584,0.4650636195838766,0.1,Northeast
1060001,76932.71658261065,78516.54004383538,49547.41866431263,62120.829679967195,64457.49126507911,53183.93760361162,18918.88422342891,19651.90360826392,6244.520744767293,12063.70087033877,7328.509937047958,8068.622336387634,19307.062290467176,19704.539197319067,12434.438051547588,15589.865813184173,16176.275247030875,13347.060155644445,0.18549786381061642,0.49366752441521483,0.25096036053445714,Northeast
1060002,132718.33617515748,136841.5587242898,61425.24028673433,94158.03727356836,100241.14942166995,71244.78662875673,101.7148213282656,105.6558008743171,33.57282090917808,64.85885552725031,1254.2970992326736,37.69282531738281,29683.19546259605,30605.377162494326,13738.097284174313,21058.96973480061,22419.491665053607,15934.2935432925,0.31077534165457743,1.8211932666291812,0.22365557253084534,Northeast
1060003,680216.0328278171,702193.4953332273,300211.9648659313,474683.2212444512,507107.2215398618,322284.5150472601,15017.36520993046,15599.21875256136,4956.753658285304,9575.881939637899,45296.50218105316,5565.038833618164,174963.2610246355,180616.2423179573,77219.67997901123,122096.68742640571,130436.69788391398,82897.119457761,0.3427177182780399,0.9401082858877766,0.25721719656808484,Northeast
1070001,90969.31662151811,94076.39640655991,230038.87588046052,61911.96553395373,66495.9322154239,40403.08514546223,62.61493061135386,65.04096997901287,171.2018511112547,39.92665656132899,1052.1289253234863,23.203439712524414,21128.527731765982,21850.177886358182,53428.81477989355,14379.669203790168,15444.341015648368,9384.018003526198,0.6985818757219187,1.7112021771682693,0.23225993682762466,Northeast
1070002,40988.298483623905,42346.747150713665,101791.00407154256,28284.11237160561,30288.271858724544,18869.92330119435,0,0,0,0,75.47749137878418,0,11385.626058203523,11762.972498893869,28275.248090883644,7856.689317805455,8413.399679677488,5241.639648452785,0.6792444148927838,2.449489742783178,0.2777774750213755,Northeast
1070003,84149.68924340181,86819.36212856887,203641.3847232262,59182.959168845104,63121.60651705456,40651.43594252573,0,0,0,0,288.83425426483154,0,21696.998505779346,22385.341969922694,52506.513806301715,15259.623513757875,16275.156980336815,10481.490220974576,0.6520621822373894,2.4494897427831783,0.25783812989518096,Northeast
1070004,53456.777401441315,54120.304213428186,83155.52596391592,47251.48726865023,48230.40799448829,57581.14333355505,324.579449435702,337.1554039975892,887.4656896287916,206.9693614279055,1156.118720576167,485.13714662412895,13540.183328486413,13708.2494767729,21062.643897755337,11968.431904462605,12216.384862650933,14584.852939136717,0.23109520353371518,0.6596947128974647,0.25329217335352017,Northeast
1070005,213110.28555983573,213136.9079205382,214301.8738760255,212861.31374860782,212900.5905045604,211654.5680400421,490.4354950872015,509.4376053947891,1340.949575281787,312.7281206997197,323.3474943637848,733.0361396074295,50486.77567672355,50493.082632529266,50769.068255237245,50427.79314591669,50437.09798431,50141.909713649875,0.003964332088559129,0.6238415676582999,0.23690445322287457,Northeast
1070006,445542.39062001964,455091.1899255602,872936.407750404,356242.2010267062,370329.8269947837,318953.7137952657,49306.53035231296,51216.93067615673,134814.0002036285,31440.502838321,15110.393807694316,30870.53087475896,44554.239062001965,45509.118992556025,87293.6407750404,35624.220102670624,37032.98269947837,31895.371379526572,0.43500314798334305,0.8182385335623856,0.1,Northeast
