Table 3,"Water footprint, carbon footprint, and water scarcity footprint of a hypothetical 1 MW data center placed within each US subbasin.",Unnamed: 2,Unnamed: 3
HUC8,WSF_1MW_DC,WF_1MW_DC,CF_1MW_DC
1010001,1.5941278547050992,8.090976567661357,0.2542962919526162
1010002,1.5941278547050992,8.090976567661357,0.2542962919526162
1010003,1.5941278547050992,8.090976567661357,0.2542962919526162
1010004,1.5941278547050992,8.090976567661357,0.2542962919526162
1010005,1.5941278547050992,8.090976567661357,0.2542962919526162
1020001,1.4326494235020866,8.140143300373827,0.2566586051347567
1020002,1.6147188428643773,8.140143300373827,0.2566586051347567
1020003,1.5904948907661536,8.090976567661357,0.2542962919526162
1020004,1.5543728699064672,8.140143300373827,0.2566586051347567
1020005,1.2813289754627695,8.140143300373827,0.2566586051347567
1030001,1.58528737776603,8.140143300373827,0.2566586051347567
1030002,1.5643032034229114,8.140143300373827,0.2566586051347567
1030003,1.3748508718772041,8.140143300373827,0.2566586051347567
1040001,1.5389173434633288,8.140143300373827,0.2566586051347567
1040002,1.3679221945494955,8.140143300373827,0.2566586051347567
1050001,1.5755384627023885,8.090976567661357,0.2542962919526162
1050002,1.2813289754627695,8.140143300373827,0.2566586051347567
1050003,1.2813289754627695,8.140143300373827,0.2566586051347567
1060001,1.5530576244247924,8.140143300373827,0.2566586051347567
1060002,1.5039090060182911,8.140143300373827,0.2566586051347567
1060003,1.5643199292853223,8.140143300373827,0.2566586051347567
1070001,1.519396861752494,8.140143300373827,0.2566586051347567
1070002,1.6013284305012454,8.140143300373827,0.2566586051347567
1070003,1.5654376092740951,8.140143300373827,0.2566586051347567
1070004,1.5572548874991057,8.140143300373827,0.2566586051347567
1070005,1.527756991263944,8.140143300373827,0.2566586051347567
1070006,1.2813289754627695,8.140143300373827,0.2566586051347567
1080101,1.4220389571296606,8.140143300373827,0.2566586051347567
1080102,1.5697996859111814,8.140143300373827,0.2566586051347567
1080103,1.2813289754627695,8.140143300373827,0.2566586051347567
1080104,1.2813289754627695,8.140143300373827,0.2566586051347567
1080105,1.564791529792719,8.140143300373827,0.2566586051347567
1080106,1.2813289754627695,8.140143300373827,0.2566586051347567
1080107,1.534014226656106,8.140143300373827,0.2566586051347567
1080201,1.2813289754627695,8.140143300373827,0.2566586051347567
1080202,1.5955634866971853,8.140143300373827,0.2566586051347567
1080203,1.4713099327068522,8.140143300373827,0.2566586051347567
1080204,1.5683643081409937,8.140143300373827,0.2566586051347567
1080205,1.2813289754627695,8.140143300373827,0.2566586051347567
1080206,1.5033166680668169,8.140143300373827,0.2566586051347567
1080207,1.5127611854801875,8.140143300373827,0.2566586051347567
1090001,1.4786781287062185,8.140143300373827,0.2566586051347567
1090002,1.522751892816873,8.140143300373827,0.2566586051347567
1090003,1.5559416386326859,8.140143300373827,0.2566586051347567
1090004,1.5073752143149417,8.140143300373827,0.2566586051347567
1090005,1.5219175301937404,8.140143300373827,0.2566586051347567
1100001,1.5393532832243966,8.140143300373827,0.2566586051347567
1100002,1.2836627932174145,8.140143300373827,0.2566586051347567
1100003,1.2813289754627695,8.140143300373827,0.2566586051347567
1100004,1.5054685941249244,8.140143300373827,0.2566586051347567
1100005,1.5415358531306909,8.140143300373827,0.2566586051347567
1100006,1.4986057288912082,8.140143300373827,0.2566586051347567
1110000,1.549594537676202,8.140143300373827,0.2566586051347567
2010001,0.8971819324249715,3.5830752790006697,0.2285957850998019
2010002,1.5777068597122228,8.140143300373827,0.2566586051347567
2010003,1.55914787733593,8.140143300373827,0.2566586051347567
2010004,0.85510922763425,3.5830752790006697,0.2285957850998019
2010005,1.5376911827099837,8.140143300373827,0.2566586051347567
2010006,0.8794235034609997,3.5830752790006697,0.2285957850998019
2010007,1.540945219132236,8.140143300373827,0.2566586051347567
2010008,0.5394852713503623,3.5830752790006697,0.2285957850998019
2020001,0.7825709156485215,3.5830752790006697,0.2285957850998019
2020002,0.7349632605931878,3.5830752790006697,0.2285957850998019
2020003,0.516552498317592,3.5830752790006697,0.2285957850998019
2020004,0.6768362334484782,3.5830752790006697,0.2285957850998019
2020005,0.9105083323366342,3.5830752790006697,0.2285957850998019
2020006,0.516552498317592,3.5830752790006697,0.2285957850998019
2020007,0.8402100955891362,3.5830752790006697,0.2285957850998019
2020008,0.516552498317592,3.5830752790006697,0.2285957850998019
2030101,0.516552498317592,3.5830752790006697,0.2285957850998019
2030102,0.516552498317592,3.5830752790006697,0.2285957850998019
2030103,0.8320071772061866,3.6860649401436643,0.43682443914551305
2030104,,,
2030105,0.8061033628100921,3.6860649401436643,0.43682443914551305
2030201,1.211081831981277,5.538986104639639,0.2406404535679691
2030202,1.188552313723751,5.538986104639639,0.2406404535679691
2030203,,,
2040101,0.6273801195473807,3.5830752790006697,0.2285957850998019
2040102,0.8046412216568661,3.5830752790006697,0.2285957850998019
2040103,0.8753922149906622,3.6860649401436643,0.43682443914551305
2040104,0.5670085097322357,3.671044956573223,0.40645643008566185
2040105,0.5756233925349246,3.6860649401436643,0.43682443914551305
2040106,0.8044246169848224,3.6860649401436643,0.43682443914551305
2040201,0.5756233925349246,3.6860649401436643,0.43682443914551305
2040202,0.5756233925349246,3.6860649401436643,0.43682443914551305
2040203,0.8594726580935674,3.6860649401436643,0.43682443914551305
2040204,,,
2040205,0.9964249394876574,3.6860649401436643,0.43682443914551305
2040206,1.0872239908694727,3.6860649401436643,0.43682443914551305
2040207,1.0313838416068284,3.6860649401436643,0.43682443914551305
2040301,0.9726013482825184,3.6860649401436643,0.43682443914551305
2040302,1.0354243585862706,3.6860649401436643,0.43682443914551305
2040303,1.0900502394154312,3.6860649401436643,0.43682443914551305
2040304,,,
2050101,0.8654855446108235,3.5830752790006697,0.2285957850998019
2050102,0.8571304033136135,3.5830752790006697,0.2285957850998019
2050103,0.516552498317592,3.5830752790006697,0.2285957850998019
2050104,1.0459108981659497,3.5830752790006697,0.2285957850998019
2050105,0.664927596427447,3.5830752790006697,0.2285957850998019
2050106,0.5756233925349246,3.6860649401436643,0.43682443914551305
2050107,0.5756233925349246,3.6860649401436643,0.43682443914551305
2050201,0.9272634805595479,3.6860649401436643,0.43682443914551305
2050202,0.943106836964426,3.6860649401436643,0.43682443914551305
2050203,0.5756233925349246,3.6860649401436643,0.43682443914551305
2050204,0.9484000611409832,3.6860649401436643,0.43682443914551305
2050205,1.0230316998906834,3.6860649401436643,0.43682443914551305
2050206,0.5756233925349246,3.6860649401436643,0.43682443914551305
2050301,0.5756233925349246,3.6860649401436643,0.43682443914551305
2050302,0.9737433438312352,3.6860649401436643,0.43682443914551305
2050303,1.0207710798596952,3.6860649401436643,0.43682443914551305
2050304,0.6550903979064473,3.6860649401436643,0.43682443914551305
2050305,0.5756233925349246,3.6860649401436643,0.43682443914551305
2050306,0.5756233925349246,3.6860649401436643,0.43682443914551305
2060002,1.0871869670564924,3.6860649401436643,0.43682443914551305
2060003,1.0956723953403387,3.6860649401436643,0.43682443914551305
2060004,1.0682937907886525,3.6860649401436643,0.43682443914551305
2060005,1.1053400864202192,3.6860649401436643,0.43682443914551305
2060006,1.0690652244266614,3.6860649401436643,0.43682443914551305
2070001,1.3091286206350605,3.6860649401436643,0.43682443914551305
2070002,1.2298591093733116,3.6860649401436643,0.43682443914551305
2070003,0.6611886684263707,3.6860649401436643,0.43682443914551305
