Program,Year,Period,Geo Level,State,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (5,000 TO 7,499 $)",4,72.8
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (LESS THAN 1,200 $)",8,56.3
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,21,37.8
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,50,31.1
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,13,42.1
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,18,48.3
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,8,57.1
CENSUS,2023,YEAR,STATE,ALABAMA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,782,88.5
CENSUS,2023,YEAR,STATE,ARIZONA,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"146,802",61.4
CENSUS,2023,YEAR,STATE,ARIZONA,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"43,170",52.6
CENSUS,2023,YEAR,STATE,ARIZONA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"5,794",94.1
CENSUS,2023,YEAR,STATE,ARKANSAS,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"3,340",70.5
CENSUS,2023,YEAR,STATE,ARKANSAS,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"4,742",64.0
CENSUS,2023,YEAR,STATE,ARKANSAS,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"436,311",19.9
CENSUS,2023,YEAR,STATE,CALIFORNIA,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"599,451",18.9
CENSUS,2023,YEAR,STATE,CALIFORNIA,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"374,324",17.8
CENSUS,2023,YEAR,STATE,CALIFORNIA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"296,277",23.1
CENSUS,2023,YEAR,STATE,COLORADO,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"55,119",82.2
CENSUS,2023,YEAR,STATE,COLORADO,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"55,393",57.9
CENSUS,2023,YEAR,STATE,COLORADO,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"36,579",36.7
CENSUS,2023,YEAR,STATE,CONNECTICUT,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,736,82.8
CENSUS,2023,YEAR,STATE,FLORIDA,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"19,112",54.4
