Program,Year,Period,Geo Level,State,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2023,YEAR,WATERSHED,LOWER MISSISSIPPI,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"466,537",20.2
CENSUS,2023,YEAR,WATERSHED,MISSOURI,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"99,625",47.6
CENSUS,2023,YEAR,WATERSHED,MISSOURI,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"101,205",35.4
CENSUS,2023,YEAR,WATERSHED,MISSOURI,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"62,660",47.9
CENSUS,2023,YEAR,WATERSHED,ARKANSAS-WHITE-RED,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"47,749",84.7
CENSUS,2023,YEAR,WATERSHED,ARKANSAS-WHITE-RED,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"95,478",82.5
CENSUS,2023,YEAR,WATERSHED,ARKANSAS-WHITE-RED,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"95,930",31.5
CENSUS,2023,YEAR,WATERSHED,TEXAS-GULF,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"10,972",78.5
CENSUS,2023,YEAR,WATERSHED,TEXAS-GULF,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"11,382",58.6
CENSUS,2023,YEAR,WATERSHED,TEXAS-GULF,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"11,057",38.0
CENSUS,2023,YEAR,WATERSHED,RIO GRANDE,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,413,84.0
CENSUS,2023,YEAR,WATERSHED,RIO GRANDE,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"2,412",87.7
CENSUS,2023,YEAR,WATERSHED,UPPER COLORADO,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"1,518",58.4
CENSUS,2023,YEAR,WATERSHED,UPPER COLORADO,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"1,144",62.9
CENSUS,2023,YEAR,WATERSHED,UPPER COLORADO,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"19,967",47.7
CENSUS,2023,YEAR,WATERSHED,LOWER COLORADO,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"153,102",58.9
CENSUS,2023,YEAR,WATERSHED,LOWER COLORADO,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"45,270",50.0
CENSUS,2023,YEAR,WATERSHED,LOWER COLORADO,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"5,794",94.1
CENSUS,2023,YEAR,WATERSHED,GREAT BASIN,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"61,919",85.9
CENSUS,2023,YEAR,WATERSHED,GREAT BASIN,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"13,595",33.1
CENSUS,2023,YEAR,WATERSHED,GREAT BASIN,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"37,966",70.6
CENSUS,2023,YEAR,WATERSHED,PACIFIC NORTHWEST,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"52,068",27.4
CENSUS,2023,YEAR,WATERSHED,PACIFIC NORTHWEST,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"77,595",27.4
CENSUS,2023,YEAR,WATERSHED,PACIFIC NORTHWEST,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"68,037",55.4
CENSUS,2023,YEAR,WATERSHED,CALIFORNIA,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"593,151",18.6
CENSUS,2023,YEAR,WATERSHED,CALIFORNIA,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"372,224",17.5
CENSUS,2023,YEAR,WATERSHED,CALIFORNIA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"296,677",23.1
CENSUS,2023,YEAR,WATERSHED,HAWAII,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,887,86.9
CENSUS,2023,YEAR,WATERSHED,HAWAII,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,465,69.7
