"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2023","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","4,046","42.5"
"CENSUS","2023","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","413","84.0"
"CENSUS","2023","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","2,013","(H)"
"CENSUS","2023","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","192","97.4"
"CENSUS","2023","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","108","84.1"
"CENSUS","2023","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","36","67.4"
"CENSUS","2023","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","261","61.5"
"CENSUS","2023","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","23,990","96.6"
"CENSUS","2023","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","6,228","40.0"
"CENSUS","2023","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","9,518","22.8"
"CENSUS","2023","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","137","99.3"
"CENSUS","2023","YEAR","","STATE","OHIO","39","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","647","51.2"
"CENSUS","2023","YEAR","","STATE","OHIO","39","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","3,688","45.9"
"CENSUS","2023","YEAR","","STATE","OHIO","39","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","2,279","72.8"
"CENSUS","2023","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","29","(H)"
"CENSUS","2023","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","29","(H)"
"CENSUS","2023","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","1,030","(H)"
"CENSUS","2023","YEAR","","STATE","OREGON","41","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","14,818","45.8"
"CENSUS","2023","YEAR","","STATE","OREGON","41","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","18,107","47.1"
"CENSUS","2023","YEAR","","STATE","OREGON","41","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","13,209","31.9"
"CENSUS","2023","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","40","(H)"
"CENSUS","2023","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","500","(H)"
"CENSUS","2023","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","132","62.2"
"CENSUS","2023","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","150","(H)"
"CENSUS","2023","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","450","(H)"
"CENSUS","2023","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","92","81.4"
"CENSUS","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","51,967","75.9"
"CENSUS","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","75,507","86.4"
"CENSUS","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","37,147","47.4"
"CENSUS","2023","YEAR","","STATE","UTAH","49","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","55,829","96.6"
"CENSUS","2023","YEAR","","STATE","UTAH","49","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","10,505","44.5"
"CENSUS","2023","YEAR","","STATE","UTAH","49","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","10,136","82.1"
"CENSUS","2023","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","24","75.5"
"CENSUS","2023","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","451","58.4"
"CENSUS","2023","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","19,496","56.5"
"CENSUS","2023","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","37,747","53.3"
"CENSUS","2023","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","23,396","84.6"
"CENSUS","2023","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","23","(H)"
"CENSUS","2023","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","14,637","29.5"
"CENSUS","2023","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","32,768","74.7"
"CENSUS","2023","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","34,000","72.5"
"CENSUS","2023","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","6,790","95.1"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","01000000","NEW ENGLAND","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","302","(H)"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","01000000","NEW ENGLAND","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","246","(H)"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","01000000","NEW ENGLAND","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","7,136","26.6"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","02000000","MID-ATLANTIC","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","312","59.2"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","02000000","MID-ATLANTIC","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","1,315","72.9"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","02000000","MID-ATLANTIC","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","4,908","36.3"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","03000000","SOUTH ATLANTIC-GULF","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","46,744","55.7"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","03000000","SOUTH ATLANTIC-GULF","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","42,780","46.6"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","03000000","SOUTH ATLANTIC-GULF","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","72,813","36.8"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","04000000","GREAT LAKES","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","1,230","44.3"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","04000000","GREAT LAKES","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","6,620","38.4"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","04000000","GREAT LAKES","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","3,261","62.1"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","05000000","OHIO","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","1,076","76.5"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","05000000","OHIO","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","5,528","86.2"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","05000000","OHIO","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","1,469","61.0"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","06000000","TENNESSEE","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","92","(H)"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","06000000","TENNESSEE","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","92","(H)"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","06000000","TENNESSEE","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","07000000","UPPER MISSISSIPPI","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","1,226","93.3"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","07000000","UPPER MISSISSIPPI","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","3,353","97.1"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","07000000","UPPER MISSISSIPPI","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","24,652","27.4"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","08000000","LOWER MISSISSIPPI","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","3,052","75.1"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","08000000","LOWER MISSISSIPPI","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","4,452","64.3"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","08000000","LOWER MISSISSIPPI","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","466,537","20.2"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","10000000","MISSOURI","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","99,625","47.6"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","10000000","MISSOURI","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","101,205","35.4"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","10000000","MISSOURI","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","62,660","47.9"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","11000000","ARKANSAS-WHITE-RED","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","47,749","84.7"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","11000000","ARKANSAS-WHITE-RED","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","95,478","82.5"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","11000000","ARKANSAS-WHITE-RED","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","95,930","31.5"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","12000000","TEXAS-GULF","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","10,972","78.5"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","12000000","TEXAS-GULF","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","11,382","58.6"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","12000000","TEXAS-GULF","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","11,057","38.0"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","13000000","RIO GRANDE","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","413","84.0"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","13000000","RIO GRANDE","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","2,013","(H)"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","13000000","RIO GRANDE","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","2,412","87.7"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","14000000","UPPER COLORADO","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","1,518","58.4"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","14000000","UPPER COLORADO","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","1,144","62.9"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","14000000","UPPER COLORADO","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","19,967","47.7"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","15000000","LOWER COLORADO","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","153,102","58.9"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","15000000","LOWER COLORADO","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","45,270","50.0"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","15000000","LOWER COLORADO","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","5,794","94.1"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","16000000","GREAT BASIN","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","61,919","85.9"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","16000000","GREAT BASIN","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","13,595","33.1"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","16000000","GREAT BASIN","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","37,966","70.6"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","17000000","PACIFIC NORTHWEST","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","52,068","27.4"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","17000000","PACIFIC NORTHWEST","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","77,595","27.4"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","17000000","PACIFIC NORTHWEST","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","68,037","55.4"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","18000000","CALIFORNIA","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","593,151","18.6"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","18000000","CALIFORNIA","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","372,224","17.5"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","18000000","CALIFORNIA","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","296,677","23.1"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","19000000","ALASKA","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","7","(H)"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","20000000","HAWAII","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","887","86.9"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","20000000","HAWAII","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","465","69.7"
"CENSUS","2023","YEAR","","WATERSHED","","","","","","","","","20000000","HAWAII","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
